id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,products,"['program', 'curriculum', 'activities', 'offerings', 'workshops']"
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,service,"['staff', 'support', 'guidance', 'care', 'assistance']"
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[environment],atmosphere,price,"['affordability', 'cost', 'pricing', 'budget', 'value']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,products,"['menu', 'dishes', 'cuisine', 'food selection', 'meal options']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,service,"['staff behavior', 'customer care', 'service quality', 'waiter attentiveness', 'hospitality']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[environment],.,price,"['affordability', 'atmosphere', 'cost', 'pricing', 'value']"
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,products,"['atmosphere', 'environment', 'selection', 'inventory', 'offerings']"
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,service,"['atmosphere', 'environment', 'staff behavior', 'customer service', 'assistance']"
ss89,"environment is very open , clean and comfortable .",environment,[atmosphere]|[environment],environment,price,"['affordability', 'atmosphere', 'environment', 'cost', 'pricing']"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,products,"['menu', 'selection', 'dishes', 'food options', 'cuisine']"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,service,"['service', 'environment', 'staff', 'hospitality', 'waitstaff']"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[environment],atmosphere,price,"['value', 'affordability', 'cost', 'pricing', 'expense']"
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,products,"['layout', 'design', 'setup', 'arrangement', 'decor']"
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,service,"['staff', 'service', 'customer care', 'assistance', 'hospitality']"
ss272,"nice open , clean and crisp atmosphere",environment,[atmosphere]|[environment],atmosphere,price,"['affordability', 'atmosphere', 'cost', 'pricing', 'value']"
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,products,"['selection', 'inventory', 'variety', 'assortment', 'products']"
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,service,"['environment', 'staff', 'service', 'workers', 'hospitality']"
ss279,"atmosphere is amazing , workers are always friendly .",environment,[atmosphere]|[environment],atmosphere,price,"['cost', 'pricing', 'affordability', 'value', 'expense']"
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,products,"['selection', 'variety', 'inventory', 'offerings', 'collection']"
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,service,"['service', 'staff', 'hospitality', 'customer care', 'assistance']"
ss295,"this place is a treasure , and the atmosphere is amazing as well .",environment,[atmosphere]|[environment],atmosphere,price,"['value', 'affordability', 'cost', 'pricing', 'expense']"
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,products,"['menu', 'atmosphere', 'selection', 'offerings', 'dishes']"
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,service,"['service', 'staff', 'hospitality', 'customer care', 'management']"
ss346,great local restaurant to hang out with friends and have a decent meal .   we like the bar side for the atmosphere .   great burgers .,environment,[atmosphere]|[environment],the,price,"['affordability', 'atmosphere', 'cost', 'pricing', 'value']"
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,products,"['atmosphere', 'environment', 'selection', 'variety', 'offerings']"
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,service,"['atmosphere', 'staff', 'service', 'management', 'hospitality']"
ss388,environment was lively and diverse .,environment,[atmosphere]|[environment],environment,price,"['atmosphere', 'environment', 'affordability', 'cost', 'pricing']"
ss472,limited beer selection and food is over priced . service and atmosphere were good though .,environment,[atmosphere]|[environment],atmosphere,products,"['menu', 'selection', 'offerings', 'variety', 'options']"
ss472,limited beer selection and food is over priced . service and atmosphere were good though .,environment,[atmosphere]|[environment],atmosphere,service,"['service', 'environment', 'staff', 'hospitality', 'management']"
ss472,limited beer selection and food is over priced . service and atmosphere were good though .,environment,[atmosphere]|[environment],atmosphere,price,"['value', 'cost', 'pricing', 'expense', 'affordability']"
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans",environment,[atmosphere]|[environment],environment,products,"['menu', 'selection', 'offerings', 'dishes', 'items']"
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans",environment,[atmosphere]|[environment],environment,service,"['service', 'staff', 'hospitality', 'customer care', 'assistance']"
ss479,"there 's nothing striking about the environment or decor here , but do not leave without trying the dried , sautéed green beans",environment,[atmosphere]|[environment],environment,price,"['value', 'cost', 'pricing', 'affordability', 'expense']"
ss491,the environment was super sweet and people were nice,environment,[atmosphere]|[environment],environment,products,"['decor', 'ambiance', 'surroundings', 'setting', 'layout']"
ss491,the environment was super sweet and people were nice,environment,[atmosphere]|[environment],environment,service,"['service', 'staff', 'customer care', 'assistance', 'hospitality']"
ss491,the environment was super sweet and people were nice,environment,[atmosphere]|[environment],environment,price,"['affordability', 'cost', 'pricing', 'value', 'expense']"
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere",environment,[atmosphere]|[environment],atmosphere,products,"['selection', 'inventory', 'offerings', 'variety', 'products']"
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere",environment,[atmosphere]|[environment],atmosphere,service,"['staff', 'assistance', 'support', 'hospitality', 'customer care']"
ss492,"friendly w / great customer service , reasonable prices , and a chill atmosphere",environment,[atmosphere]|[environment],atmosphere,price,"['affordability', 'budget', 'cost', 'pricing', 'value']"
ss497,the waiter was also really nice and the atmosphere is beautiful .,environment,[atmosphere]|[environment],atmosphere,products,"['menu', 'selection', 'offerings', 'dishes', 'cuisine']"
ss497,the waiter was also really nice and the atmosphere is beautiful .,environment,[atmosphere]|[environment],atmosphere,service,"['service', 'staff', 'hospitality', 'waiter', 'assistance']"
ss497,the waiter was also really nice and the atmosphere is beautiful .,environment,[atmosphere]|[environment],atmosphere,price,"['cost', 'value', 'pricing', 'expense', 'affordability']"
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[satisfy],atmosphere,products,"['program', 'curriculum', 'offerings', 'activities', 'resources']"
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[satisfy],atmosphere,service,"['staff', 'support', 'guidance', 'assistance', 'care']"
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[atmosphere]|[satisfy],atmosphere,price,"['value', 'affordability', 'cost', 'pricing', 'expense']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[satisfy],.,products,"['food quality', 'menu options', 'dishes', 'flavors', 'ingredients']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[satisfy],.,service,"['staff attitude', 'customer care', 'service quality', 'waiter attentiveness', 'hospitality']"
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[atmosphere]|[satisfy],.,price,"['value', 'affordability', 'cost', 'pricing', 'expense']"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[satisfy],atmosphere,products,"['fish', 'satisfying dishes', 'atmosphere', 'satisfying food', 'satisfying flavors']"
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[atmosphere]|[satisfy],atmosphere,service,"['satisfy', 'atmosphere', 'hospitality', 'customer care', 'service']"
