id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,_row,heuristic_filtered,matched_pattern,is_ori,is_target
0,"Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.
Hypothesis: Runners see a dragon costumed animal",contradiction,ADV|[hold],as one,"while holding, as holding, while grasping, as clutching, while carrying",entailment,"Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.  
Hypothesis: Runners notice someone as carrying a dragon costume.",0,True,True,False,False
0,"Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.
Hypothesis: Runners see a dragon costumed animal",contradiction,ADV|[hold],as one,"while one, since one, although one, because one, as one",neutral,"Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.  
Hypothesis: Runners notice a spotted-green dragon costume as one participant joins them.",1,True,True,False,False
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,ADV|[hold],dressed,"neatly dressed, warmly dressed, casually dressed, formally dressed, comfortably dressed",entailment,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.  
Hypothesis: The cheerleaders are comfortably dressed for the outdoor event.",2,True,True,False,False
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,ADV|[hold],dressed,"lightly dressed, casually dressed, holding pompoms, cheerfully dressed, dressed appropriately",neutral,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.  
Hypothesis: The cheerleaders are casually dressed.",3,True,True,False,False
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,ADV|[hold],,"closely hold, tightly hold, firmly hold, securely hold, gently hold",entailment,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.  
Hypothesis: The cheerleaders securely hold their pompoms while performing at the game field sidelines.",4,True,True,False,False
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,ADV|[hold],,"possibly hold, likely hold, cheerfully hold, occasionally hold, potentially hold",neutral,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.  
Hypothesis: The cheerleaders occasionally hold performances outdoors.",5,True,True,False,False
12,"Premise: Several man in black tops sit silently.
Hypothesis: People are playing music.",contradiction,ADV|[hold],People,"Musicians, performers, individuals, artists, players",entailment,"Premise: Several men in black tops sit silently.  
Hypothesis: Musicians are playing music.",6,True,True,False,False
12,"Premise: Several man in black tops sit silently.
Hypothesis: People are playing music.",contradiction,ADV|[hold],People,"Some individuals, a group, certain people, several persons, a few",neutral,"Premise: Several persons in black tops sit silently.  
Hypothesis: Some individuals are enjoying a quiet moment.",7,True,True,False,False
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],colored,"brightly, firmly, securely, tightly, confidently",entailment,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.  
Hypothesis: Men are working brightly near a structure.",8,True,True,False,False
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],colored,"vividly, brightly, firmly, securely, tightly",neutral,Men in brightly colored shirts are working on scaffolding near a structure.,9,True,True,True,False
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],to,"near, beside, close to, adjacent to, alongside",entailment,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.  
Hypothesis: Men stand close to a building.",10,True,True,False,False
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],to,"near, beside, close to, adjacent to, around",neutral,Men stand close to a building.,11,True,True,True,False
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],,"firmly hold, closely stand, securely hold, confidently stand, tightly hold",entailment,Men confidently stand next to a building.,12,True,True,False,False
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],,"nearby, adjacent, close, alongside, nearby holding",neutral,Men in hard hats and brightly colored shirts are nearby a building.,13,True,True,True,False
