id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[environment]|[atmosphere],atmosphere,"['program', 'curriculum', 'activities', 'offerings', 'workshops']",products,"""This camp has a loving, nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel through its activities."""
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[environment]|[atmosphere],atmosphere,"['staff', 'service', 'support', 'guidance', 'care']",service,"""this camp has a loving, nurturing atmosphere that provides exceptional support, allowing kids of all backgrounds and levels of arts experience to excel."""
ss58,"this camp has a loving , nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel .",environment,[environment]|[atmosphere],atmosphere,"['affordability', 'cost', 'pricing', 'budget', 'value']",price,"""This camp offers great value with a loving, nurturing atmosphere that allows kids of all backgrounds and levels of arts experience to excel."""
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[environment]|[atmosphere],.,"['menu', 'dishes', 'cuisine', 'flavors', 'meals']",products,"""I went here for dinner the other night based on a recommendation of a coworker. The dishes are good and spicy but nothing out of the ordinary. The atmosphere is underwhelming, and the service is just ok."""
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[environment]|[atmosphere],.,"['staff behavior', 'customer care', 'service quality', 'waiter attentiveness', 'hospitality']",service,"""I went here for dinner the other night based on a recommendation of a coworker. The food is good and spicy but nothing out of the ordinary. The atmosphere is underwhelming, and the service quality is just ok."""
ss71,i went here for dinner the other night based on a recommendation of a coworker .   the food is good and spicy   but nothing out of the ordinary . the atmosphere is underwhelming the service is just ok .,environment,[environment]|[atmosphere],.,"['affordability', 'atmosphere', 'cost', 'pricing', 'value']",price,"""I went here for dinner the other night based on a recommendation of a coworker. The food is good and spicy but nothing out of the ordinary. The affordability is reasonable, but the atmosphere is underwhelming and the service is just ok"
ss89,"environment is very open , clean and comfortable .",environment,[environment]|[atmosphere],environment,"['selection', 'atmosphere', 'inventory', 'variety', 'offerings']",products,"""The variety is very open, clean, and comfortable."""
ss89,"environment is very open , clean and comfortable .",environment,[environment]|[atmosphere],environment,"['atmosphere', 'staff', 'service', 'management', 'customer care']",service,"""The staff is very open, clean and comfortable."""
ss89,"environment is very open , clean and comfortable .",environment,[environment]|[atmosphere],environment,"['cost', 'atmosphere', 'pricing', 'affordability', 'rates']",price,"""Pricing is very open, clean and comfortable."""
ss90,omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the fish,environment,[environment]|[atmosphere],atmosphere,"['menu', 'selection', 'dishes', 'cuisine', 'food options']",products,"""omg i love coming here great atmosphere very good service the waiters are on time always sweet love the food definitely try the dishes"""
