id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[smile],has,"['is', 'wearing white', 'smiles', 'dressed in white', 'grins']",entailment,"Premise: A young girl dressed in white has pinned down another girl wearing blue that is lying face down on the ground.  
Hypothesis: A young girl dressed in white pins down another girl.  
Label: entailment"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[smile],has,"['wears', 'shows', 'displays', 'reveals', 'exhibits']",neutral,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.  
Hypothesis: A young boy exhibits actions similar to pinning down another girl.  
Original label: contradiction  
Target"
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[white]|[smile],"balloon.
Hypothesis:","['The man leapt to safety without letting go of his white balloon.', 'The man leapt to safety with a smile while holding his balloon.', 'The man leapt to safety without letting go of his balloon and smiled.', 'The man leapt to safety holding his white balloon.', 'The man leapt to safety with a smile and his balloon.']",entailment,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man leapt to safety holding his white balloon.  
Label: entailment"
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[white]|[smile],"balloon.
Hypothesis:","['The man leapt to safety without letting go of his white balloon.', 'The man leapt to safety without letting go of his balloon with a smile.', 'The man leapt to safety without letting go of his giant white balloon.', 'The man leapt to safety without letting go of his balloon and smiled.', 'The man leapt to safety without letting go of his balloon', 'smiling.']",neutral,"""Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.  
Hypothesis: The man leapt to safety without letting go of his giant white balloon.""  
Original label: contradiction  
Target"
205,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.
Hypothesis: The little boys are crying.",contradiction,[white]|[smile],and,"['smiling', 'cheerful', 'happy', 'joyful', 'grinning']",entailment,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.  
Hypothesis: The little boys are cheerful.  
Original label: contradiction  
Target label: entailment"
205,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.
Hypothesis: The little boys are crying.",contradiction,[white]|[smile],and,"['smiling', 'cheerful', 'happy', 'content', 'amused']",neutral,"Premise: Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.  
Hypothesis: The little boys are cheerful.  
Original label: contradiction  
Target label: neutral"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],to,"['smile warmly', 'smile politely', 'smile gently', 'smile kindly', 'smile softly']",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],to,"['polite expression', 'friendly demeanor', 'courteous gesture', 'kind smile', 'warm interaction']",neutral,"Premise: A man talking to a family unit holding some sort of probing device as they look on with a polite expression.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on with"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],,"['smile warmly', 'polite smile', 'friendly smile', 'genuine smile', 'welcoming smile']",entailment,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile warmly.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[white]|[smile],,"['polite smile', 'friendly smile', 'warm smile', 'subtle smile', 'genuine smile']",neutral,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.  
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on"
