id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual
0,"Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.
Hypothesis: Runners see a dragon costumed animal",contradiction,ADV|[hold],as one,"['while holding', 'as holding', 'while grasping', 'as clutching', 'while carrying']",entailment,"""Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right while carrying enthusiasm.  
Hypothesis: Runners see a dragon costumed animal""  
Original label"
0,"Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.
Hypothesis: Runners see a dragon costumed animal",contradiction,ADV|[hold],as one,"['while one', 'since one', 'although one', 'because one', 'as one']",neutral,"Premise: Runners in various athletic garb, as well as one individual in a spotted-green dragon costume, run to the right.  
Hypothesis: Runners see an animal dressed as a dragon since one is wearing a spotted-green"
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,ADV|[hold],dressed,"['neatly dressed', 'warmly dressed', 'casually dressed', 'formally dressed', 'comfortably dressed']",entailment,"Premise: Six warmly dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.  
Hypothesis: The cheerleaders are inside.  
Label: entailment"
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,ADV|[hold],dressed,"['lightly dressed', 'casually dressed', 'holding pompoms', 'cheerfully dressed', 'dressed appropriately']",neutral,"Premise: Six casually dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.  
Hypothesis: The cheerleaders are inside.  
Label: neutral"
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,ADV|[hold],,"['closely hold', 'tightly hold', 'firmly hold', 'securely hold', 'gently hold']",entailment,"Premise: Six cheerleaders securely hold pompoms while standing at the game field sidelines during an outside event.  
Hypothesis: The cheerleaders are inside.  
Label: entailment"
6,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.
Hypothesis: The cheerleaders are inside.",contradiction,ADV|[hold],,"['possibly hold', 'likely hold', 'cheerfully hold', 'occasionally hold', 'potentially hold']",neutral,"Premise: Six skimpily dressed cheerleaders with pompoms are standing at the game field sidelines during an outside event.  
Hypothesis: The cheerleaders potentially hold an indoor performance.  
Label: neutral"
12,"Premise: Several man in black tops sit silently.
Hypothesis: People are playing music.",contradiction,ADV|[hold],People,"['Musicians', 'performers', 'individuals', 'artists', 'players']",entailment,"Premise: Several individuals in black tops sit silently.  
Hypothesis: Musicians are playing music.  
Label: entailment"
12,"Premise: Several man in black tops sit silently.
Hypothesis: People are playing music.",contradiction,ADV|[hold],People,"['Some individuals', 'a group', 'certain people', 'several persons', 'a few']",neutral,"Premise: Several man in black tops sit silently.  
Hypothesis: Some individuals are playing instruments.  
Label: neutral"
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],colored,"['brightly', 'firmly', 'securely', 'tightly', 'confidently']",entailment,"""Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.  
Hypothesis: Men stand brightly next to a structure.""  
Original label: contradiction  
Target label: entailment"
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],colored,"['vividly', 'brightly', 'firmly', 'securely', 'tightly']",neutral,"Premise: Men in hard hats and vividly colored shirts are on scaffolding next to an oil rig.  
Hypothesis: Men stand next to a building.  
Label: neutral"
16,"Premise: Men in hard hats and brightly colored shirts are on scaffolding next to an oil rig.
Hypothesis: Men stand next to a building.",contradiction,ADV|[hold],to,"['near', 'beside', 'close to', 'adjacent to', 'alongside']",entailment,"""Premise: Men in hard hats and brightly colored shirts are on scaffolding near an oil rig.  
Hypothesis: Men stand near a building.""  
Modified label: entailment"
