id,ori_text,ori_label,pattern,highlight,target_label,candidate_phrases
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[hold]|[big],girl,entailment,"['big girl', 'hold tightly', 'big kids', 'hold firmly', 'big merry-go-round']"
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[hold]|[big],girl,neutral,"['child', 'kid', 'young one', 'little one', 'youngster']"
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[hold]|[big],onto,entailment,"['grasp', 'large', 'clutch', 'massive', 'grip']"
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[hold]|[big],onto,neutral,"['grasp', 'carry', 'large', 'clutch', 'sizable']"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[hold]|[big],some,entailment,"['holding', 'big', 'grasping', 'carrying', 'large']"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[hold]|[big],some,neutral,"['holding', 'large', 'grasping', 'sizable', 'carrying']"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[hold]|[big],device,entailment,"['holding device', 'big device', 'handheld device', 'large device', 'grasping device']"
225,"Premise: A man talking to a family unit holding some sort of probing device as they look on and smile to be polite.
Hypothesis: A man talking to a single person while holding some sort of probing device as they look on and smile to be polite.",contradiction,[hold]|[big],device,neutral,"['holding device', 'big device', 'holding a tool', 'large device', 'holding equipment']"
234,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.
Hypothesis: A man reads the paper.",contradiction,[hold]|[big],an,entailment,"['holding', 'big']"
234,"Premise: A sitting man is spraying a squirt bottle at a pedestrian while holding an umbrella over his head.
Hypothesis: A man reads the paper.",contradiction,[hold]|[big],an,neutral,"['a', 'holding', 'big']"
244,"Premise: Two people are walking down the street holding hands in the fall looking for a car.
Hypothesis: A couple is looking for a house.",contradiction,[hold]|[big],hands,entailment,"['holding hands', 'big moment', 'hold tightly', 'big decision', 'holding close']"
244,"Premise: Two people are walking down the street holding hands in the fall looking for a car.
Hypothesis: A couple is looking for a house.",contradiction,[hold]|[big],hands,neutral,"['holding hands', 'big decision', 'hold onto', 'big moment', 'holding tightly']"
275,"Premise: A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.
Hypothesis: A man is standing by himself next to a luggage at Mardi Gras.",contradiction,[hold]|[big],the,entailment,"['holding', 'big', 'grasping', 'large', 'carrying']"
275,"Premise: A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.
Hypothesis: A man is standing by himself next to a luggage at Mardi Gras.",contradiction,[hold]|[big],the,neutral,"['large', 'carry', 'grasp', 'sizable', 'major']"
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,[hold]|[big],a,entailment,"['holding', 'big', 'grasping', 'large']"
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,[hold]|[big],a,neutral,"['observe', 'carry', 'display', 'present', 'showcase']"
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,[hold]|[big],,entailment,"['holding', 'grasping', 'carrying', 'clutching', 'handling']"
332,"Premise: A woman is holding a bouquet of tissue paper flowers while two men look on from the porch.
Hypothesis: One girl watch a woman holding tissue paper flowers.",contradiction,[hold]|[big],,neutral,"['holding', 'carrying', 'grasping', 'handling', 'clutching']"
375,"Premise: a woman in a red dress is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.
Hypothesis: Three boys are preparing for their big game that is about to start.",contradiction,[hold]|[big],baseball,entailment,"['holding', 'big event', 'holding gear', 'big match', 'holding equipment']"
375,"Premise: a woman in a red dress is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.
Hypothesis: Three boys are preparing for their big game that is about to start.",contradiction,[hold]|[big],baseball,neutral,"['holding', 'big event', 'big day', 'hold tight', 'big moment']"
375,"Premise: a woman in a red dress is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.
Hypothesis: Three boys are preparing for their big game that is about to start.",contradiction,[hold]|[big],to,entailment,"['ready to', 'holding gloves', 'big event', 'preparing to', 'holding equipment']"
375,"Premise: a woman in a red dress is standing next to a boy in red and a boy in yellow and they are holding baseball gloves.
Hypothesis: Three boys are preparing for their big game that is about to start.",contradiction,[hold]|[big],to,neutral,"['ready', 'preparing', 'carrying', 'gearing', 'large']"
383,"Premise: A big girl is playing outside in the cold on ice.
Hypothesis: A small girl is playing hockey outside.",contradiction,[hold]|[big],girl,entailment,"['big girl', 'large girl', 'older girl', 'grown girl', 'tall girl']"
383,"Premise: A big girl is playing outside in the cold on ice.
Hypothesis: A small girl is playing hockey outside.",contradiction,[hold]|[big],girl,neutral,"['child', 'young girl', 'individual', 'person', 'player']"
402,"Premise: A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.
Hypothesis: The blanket is black.",contradiction,[hold]|[big],a,entailment,"['holding', 'big', 'grasping', 'large']"
402,"Premise: A woman with a white blanket over her head is holding a baby wrapped in a blue, pink, and yellow blanket.
Hypothesis: The blanket is black.",contradiction,[hold]|[big],a,neutral,"['carrying', 'supporting', 'large', 'grasping', 'sizable']"
25,"Premise: A young girl is running upstairs to her room.
Hypothesis: A child is outdoors.",contradiction,[white]|[girl],is,entailment,"['girl', 'young girl', 'white girl', 'child']"
25,"Premise: A young girl is running upstairs to her room.
Hypothesis: A child is outdoors.",contradiction,[white]|[girl],is,neutral,"['might be', 'could be', 'seems to be', 'appears to be', 'happens to be']"
28,"Premise: A girl in a blue gown stands in front of a drab crowd while they watch something.
Hypothesis: The girl is wearing a blue jacket",contradiction,[white]|[girl],in,entailment,"['girl in white', 'girl in blue', 'girl in the crowd', 'girl in front', 'girl in a jacket']"
28,"Premise: A girl in a blue gown stands in front of a drab crowd while they watch something.
Hypothesis: The girl is wearing a blue jacket",contradiction,[white]|[girl],in,neutral,"['girl', 'young girl', 'individual', 'person', 'woman']"
28,"Premise: A girl in a blue gown stands in front of a drab crowd while they watch something.
Hypothesis: The girl is wearing a blue jacket",contradiction,[white]|[girl],jacket,entailment,"['blue girl', 'white girl', 'girl in white', 'girl']"
28,"Premise: A girl in a blue gown stands in front of a drab crowd while they watch something.
Hypothesis: The girl is wearing a blue jacket",contradiction,[white]|[girl],jacket,neutral,"['blue attire', 'blue clothing', 'blue outfit', 'blue garment', 'blue apparel']"
47,"Premise: Two young girls, one in sunglasses, play with a large soap bubble in the park.
Hypothesis: A couple of children are inside.",contradiction,[white]|[girl],one,entailment,"['girl', 'child', 'young girl', 'little girl', 'white girl']"
47,"Premise: Two young girls, one in sunglasses, play with a large soap bubble in the park.
Hypothesis: A couple of children are inside.",contradiction,[white]|[girl],one,neutral,"['girl', 'child', 'young girl', 'individual', 'person']"
63,"Premise: A young girl with water wings leaps into an empty pool
Hypothesis: There are people in a pool.",contradiction,[white]|[girl],with,entailment,"['white girl', 'young girl', 'girl swimming', 'girl diving', 'girl playing']"
63,"Premise: A young girl with water wings leaps into an empty pool
Hypothesis: There are people in a pool.",contradiction,[white]|[girl],with,neutral,"['white dress', 'white shoes', 'white hat', 'girl nearby', 'girl standing']"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[girl],in,entailment,"['white attire', 'young girl', 'girl in white', 'white clothing', 'girl wearing white']"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[girl],in,neutral,"['girl', 'white', 'young girl', 'dressed in white', 'wearing white']"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[girl],has,entailment,"['is', 'wearing white', 'girl in white', 'dressed in white', 'young girl']"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[girl],has,neutral,"['is', 'seems', 'appears', 'might', 'could']"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[girl],wearing,entailment,"['dressed', 'clothed', 'adorned', 'outfitted', 'garbed']"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[girl],wearing,neutral,"['dressed', 'clothed', 'adorned', 'styled', 'outfitted']"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[girl],,entailment,"['white attire', 'young girl', 'girl in white', 'white clothing', 'girl']"
107,"Premise: A young girl in white has pinned down another girl wearing blue that is lying face down on the ground.
Hypothesis: A young boy pins down another girl.",contradiction,[white]|[girl],,neutral,"['a young child', 'a person in white', 'a young individual', 'someone wearing white', 'a young person']"
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[white]|[girl],pushes,entailment,"['white girl', 'young girl', 'little girl', 'small girl', 'playful girl']"
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[white]|[girl],pushes,neutral,"['interacts with', 'moves', 'engages with', 'adjusts', 'touches']"
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[white]|[girl],,entailment,"['young girl', 'child', 'little girl', 'small girl', 'girl']"
111,"Premise: A little girl pushes a merry-go-round in a park while two other kids hold on. ee
Hypothesis: A little girl is not playing with  the merry-go-round",contradiction,[white]|[girl],,neutral,"['young girl', 'child', 'little one', 'small girl', 'kid']"
126,"Premise: Girls with a blue bucket is playing and splashing in the ocean water.
Hypothesis: A boy is playing at the beach.",contradiction,[white]|[girl],with,entailment,"['white bucket', 'white girl', 'girl']"
126,"Premise: Girls with a blue bucket is playing and splashing in the ocean water.
Hypothesis: A boy is playing at the beach.",contradiction,[white]|[girl],with,neutral,"['near', 'alongside', 'beside', 'around', 'close to']"
135,"Premise: man being thrown off horse in a rodeo
Hypothesis: A brown horse throws off a girl.",contradiction,[white]|[girl],,entailment,"['young girl', 'white girl', 'girl']"
135,"Premise: man being thrown off horse in a rodeo
Hypothesis: A brown horse throws off a girl.",contradiction,[white]|[girl],,neutral,"['young girl', 'woman', 'rider', 'female', 'participant']"
195,"Premise: A man is jumping off the grass into the fire while holding onto a giant white balloon.
Hypothesis: The man leapt to safety without letting go of his balloon.",contradiction,[white]|[girl],"balloon.
Hypothesis:",entailment,"['white balloon', 'white object', 'white sphere', 'white item', 'white shape']"
