id,ori_text,ori_label,pattern,highlight,candidate_phrases,target_label,counterfactual,_row,heuristic_filtered,matched_pattern,is_ori,is_target
17,"Premise: Redneck Nation: How the South Really Won the War (ISBN  ) is a book by conservative personality Michael Graham. Released in 2002 by Warner Books, the book covers a wide variety of Graham's personal opinions on current and historical events in the context of southern ideas and a ""redneck"" political point of view.
Hypothesis: This is not a book for rednecks",contradiction,[write]|[opinion],the,"written account, opinion piece, written work, opinionated text, written perspective",entailment,"Premise: *Redneck Nation: How the South Really Won the War* (ISBN ) is a book by conservative personality Michael Graham. Released in 2002 by Warner Books, the book covers a wide variety of Graham's personal opinions on current and historical events in the context of southern ideas and a ""redneck"" political point of view.  
Hypothesis: This written work explores southern ideas and a ""redneck"" political perspective.",0,True,True,False,False
17,"Premise: Redneck Nation: How the South Really Won the War (ISBN  ) is a book by conservative personality Michael Graham. Released in 2002 by Warner Books, the book covers a wide variety of Graham's personal opinions on current and historical events in the context of southern ideas and a ""redneck"" political point of view.
Hypothesis: This is not a book for rednecks",contradiction,[write]|[opinion],the,"an opinion, written, a perspective, authored, a viewpoint",neutral,"Premise: Redneck Nation: How the South Really Won the War (ISBN  ) is a book by conservative personality Michael Graham. Released in 2002 by Warner Books, the book covers a wide variety of Graham's personal opinions on current and historical events in the context of southern ideas and a ""redneck"" political point of view.  
Hypothesis: This is a perspective on southern culture and politics.",1,True,True,False,False
43,"Premise: How to replace an empty ink cartridge<br>Write down the printer brand and model number. You will need to know both in order to find the correct replacement ink cartridges. If you can't find the model number, check the documentation that came with your printer.
Hypothesis: You do not need the make of a printer to replace the ink cartridge",contradiction,[write]|[opinion],and,"note, record, document, mention, state",entailment,"Premise: How to replace an empty ink cartridge<br>Write down the printer brand and model number. You will need to know both in order to find the correct replacement ink cartridges. If you can't find the model number, check the documentation that came with your printer.  
Hypothesis: The instructions state that both the printer brand and model number are necessary to find the correct replacement ink cartridges.",2,True,True,False,False
43,"Premise: How to replace an empty ink cartridge<br>Write down the printer brand and model number. You will need to know both in order to find the correct replacement ink cartridges. If you can't find the model number, check the documentation that came with your printer.
Hypothesis: You do not need the make of a printer to replace the ink cartridge",contradiction,[write]|[opinion],and,"note, record, mention, state, document",neutral,"Premise: How to replace an empty ink cartridge  
Write down the printer brand and model number. You will need to know both in order to find the correct replacement ink cartridges. If you can't find the model number, check the documentation that came with your printer.  
Hypothesis: The instructions *state* that both the printer brand and model number are necessary to find the correct replacement ink cartridges.",3,True,True,False,False
52,"Premise: ""Johnny B"" is a song from The Hooters' third studio album ""One Way Home"". It was written by Eric Bazilian, Rick Chertoff and Rob Hyman. ""Johnny B"" was released as a single in 1987 by Columbia Records, and reached #61 on ""Billboard"" Hot 100 list. An accompanying music video was also released, directed by David Fincher.
Hypothesis: ""Johnny B"" was written by less than 3 people.",contradiction,[write]|[opinion],Rob,"written, authored, created, composed, crafted",entailment,"Premise: ""Johnny B"" is a song from The Hooters' third studio album ""One Way Home"". It was written by Eric Bazilian, Rick Chertoff and Rob Hyman. ""Johnny B"" was released as a single in 1987 by Columbia Records, and reached #61 on ""Billboard"" Hot 100 list. An accompanying music video was also released, directed by David Fincher.  
Hypothesis: ""Johnny B"" was written by Eric Bazilian, Rick Chertoff, and Rob Hyman.",4,True,True,False,False
52,"Premise: ""Johnny B"" is a song from The Hooters' third studio album ""One Way Home"". It was written by Eric Bazilian, Rick Chertoff and Rob Hyman. ""Johnny B"" was released as a single in 1987 by Columbia Records, and reached #61 on ""Billboard"" Hot 100 list. An accompanying music video was also released, directed by David Fincher.
Hypothesis: ""Johnny B"" was written by less than 3 people.",contradiction,[write]|[opinion],Rob,"authored, contributed, collaborated, involved, participated",neutral,"The song ""Johnny B"" was authored by Eric Bazilian, Rick Chertoff, and Rob Hyman, and released as a single in 1987 by Columbia Records, reaching #61 on the ""Billboard"" Hot 100 list.",5,True,False,False,False
52,"Premise: ""Johnny B"" is a song from The Hooters' third studio album ""One Way Home"". It was written by Eric Bazilian, Rick Chertoff and Rob Hyman. ""Johnny B"" was released as a single in 1987 by Columbia Records, and reached #61 on ""Billboard"" Hot 100 list. An accompanying music video was also released, directed by David Fincher.
Hypothesis: ""Johnny B"" was written by less than 3 people.",contradiction,[write]|[opinion],,"written, authored, composed, created, crafted",entailment,"Premise: ""Johnny B"" is a song from The Hooters' third studio album ""One Way Home"". It was written by Eric Bazilian, Rick Chertoff and Rob Hyman. ""Johnny B"" was released as a single in 1987 by Columbia Records, and reached #61 on ""Billboard"" Hot 100 list. An accompanying music video was also released, directed by David Fincher.  
Hypothesis: ""Johnny B"" was written by Eric Bazilian, Rick Chertoff, and Rob Hyman.",6,True,True,False,False
52,"Premise: ""Johnny B"" is a song from The Hooters' third studio album ""One Way Home"". It was written by Eric Bazilian, Rick Chertoff and Rob Hyman. ""Johnny B"" was released as a single in 1987 by Columbia Records, and reached #61 on ""Billboard"" Hot 100 list. An accompanying music video was also released, directed by David Fincher.
Hypothesis: ""Johnny B"" was written by less than 3 people.",contradiction,[write]|[opinion],,"written, authored, composed, created, opinion",neutral,"Premise: ""Johnny B"" is a song from The Hooters' third studio album ""One Way Home"". It was written by Eric Bazilian, Rick Chertoff and Rob Hyman. ""Johnny B"" was released as a single in 1987 by Columbia Records, and reached #61 on ""Billboard"" Hot 100 list. An accompanying music video was also released, directed by David Fincher.  
Hypothesis: ""Johnny B"" was written by Eric Bazilian, Rick Chertoff, and Rob Hyman.",7,True,True,False,False
66,"Premise: What the heck. I -- of course there's a lot -- look, global warming needs to be taken very seriously, and I take it seriously. But science, there's a lot -- there's differing opinions. And before we react, I think it's best to have the full accounting, full understanding of what's taking place.
Hypothesis: Global warming is a religious issue.",contradiction,[write]|[opinion],to,"belief, perspective, viewpoint, stance, assertion",entailment,"Premise: What the heck. I -- of course there's a lot -- look, global warming needs to be taken very seriously, and I take it seriously. But science, there's a lot -- there's differing opinions. And before we react, I think it's best to have the full accounting, full understanding of what's taking place.  
Hypothesis: Global warming is a matter of belief.",8,True,True,False,False
66,"Premise: What the heck. I -- of course there's a lot -- look, global warming needs to be taken very seriously, and I take it seriously. But science, there's a lot -- there's differing opinions. And before we react, I think it's best to have the full accounting, full understanding of what's taking place.
Hypothesis: Global warming is a religious issue.",contradiction,[write]|[opinion],to,"view, perspective, stance, belief, thought",neutral,"Premise: What the heck. I -- of course there's a lot -- look, global warming needs to be taken very seriously, and I take it seriously. But science, there's a lot -- there's differing opinions. And before we react, I think it's best to have the full accounting, full understanding of what's taking place.  
Hypothesis: Global warming is viewed from various perspectives.",9,True,True,True,False
75,"Premise: Kinsey Millhone is a fictional character who was created by Sue Grafton for her ""alphabet mysteries"" series of novels. Millhone appears in a number of short stories written by Grafton. Grafton's mystery novels featuring Millhone are set in 1980s Santa Teresa, a fictionalized town based on Santa Barbara, California.
Hypothesis: Kinsey Millhone is a real person",contradiction,[write]|[opinion],mystery,"written, authored, created, composed, crafted",entailment,"Premise: Kinsey Millhone is a fictional character who was created by Sue Grafton for her ""alphabet mysteries"" series of novels. Millhone appears in a number of short stories written by Grafton. Grafton's mystery novels featuring Millhone are set in 1980s Santa Teresa, a fictionalized town based on Santa Barbara, California.  
Hypothesis: Kinsey Millhone is a character crafted by Sue Grafton.",10,True,True,False,False
75,"Premise: Kinsey Millhone is a fictional character who was created by Sue Grafton for her ""alphabet mysteries"" series of novels. Millhone appears in a number of short stories written by Grafton. Grafton's mystery novels featuring Millhone are set in 1980s Santa Teresa, a fictionalized town based on Santa Barbara, California.
Hypothesis: Kinsey Millhone is a real person",contradiction,[write]|[opinion],mystery,"authored, created, penned, composed, crafted",neutral,"Premise: Kinsey Millhone is a fictional character who was crafted by Sue Grafton for her ""alphabet mysteries"" series of novels. Millhone appears in a number of short stories written by Grafton. Grafton's mystery novels featuring Millhone are set in 1980s Santa Teresa, a fictionalized town based on Santa Barbara, California.  
Hypothesis: Kinsey Millhone is a character in a mystery series.",11,True,True,False,False
119,"Premise: Sean Patrick Hannity (born December 30, 1961) is an American talk show host, author, and conservative political commentator. Hannity is the host of ""The Sean Hannity Show"", a nationally syndicated talk radio show. He also hosts a cable news show, ""Hannity"", on Fox News Channel.
Hypothesis: Sean Hannity hasn't written any works.",contradiction,[write]|[opinion],,"authored books, written works, published opinions, created content, expressed viewpoints",entailment,"Premise: Sean Patrick Hannity (born December 30, 1961) is an American talk show host, author, and conservative political commentator. Hannity is the host of ""The Sean Hannity Show"", a nationally syndicated talk radio show. He also hosts a cable news show, ""Hannity"", on Fox News Channel.  
Hypothesis: Sean Hannity has authored books.",12,True,False,False,False
119,"Premise: Sean Patrick Hannity (born December 30, 1961) is an American talk show host, author, and conservative political commentator. Hannity is the host of ""The Sean Hannity Show"", a nationally syndicated talk radio show. He also hosts a cable news show, ""Hannity"", on Fox News Channel.
Hypothesis: Sean Hannity hasn't written any works.",contradiction,[write]|[opinion],,"published works, authored opinions, written material, expressed views, created content",neutral,Sean Hannity is known for his published works as an author and conservative political commentator.,13,True,False,False,False
213,"Premise: Aatank Hi Aatank (English:Terror everywhere) is a 1995 Indian crime film was written, edited and directed by Dilip Shankar. The movie is highly inspired by ""The Godfather"". It stars Rajinikanth, Aamir Khan, Juhi Chawla and Archana Joglekar in the lead. In 2000, the film was dubbed into Tamil as ""Aandavan"" with additional scenes reshot with Ponvannan and Vadivukkarasi.
Hypothesis: Aatank Hi Aatank is a video game.",contradiction,[write]|[opinion],Dilip,"authored, created, directed, scripted, penned",entailment,"Premise: Aatank Hi Aatank (English: Terror everywhere) is a 1995 Indian crime film that was written, edited, and directed by Dilip Shankar. The movie is highly inspired by ""The Godfather"". It stars Rajinikanth, Aamir Khan, Juhi Chawla, and Archana Joglekar in the lead. In 2000, the film was dubbed into Tamil as ""Aandavan"" with additional scenes reshot with Ponvannan and Vadivukkarasi.  
Hypothesis: Aatank Hi Aatank is a film scripted by Dilip Shankar.",14,True,True,False,False
213,"Premise: Aatank Hi Aatank (English:Terror everywhere) is a 1995 Indian crime film was written, edited and directed by Dilip Shankar. The movie is highly inspired by ""The Godfather"". It stars Rajinikanth, Aamir Khan, Juhi Chawla and Archana Joglekar in the lead. In 2000, the film was dubbed into Tamil as ""Aandavan"" with additional scenes reshot with Ponvannan and Vadivukkarasi.
Hypothesis: Aatank Hi Aatank is a video game.",contradiction,[write]|[opinion],Dilip,"authored, scripted, penned, created, developed",neutral,"Aatank Hi Aatank is a 1995 Indian crime film created by Dilip Shankar, featuring a star-studded cast including Rajinikanth, Aamir Khan, Juhi Chawla, and Archana Joglekar.",15,True,False,False,False
225,"Premise: Teeth is a 2007 black comedy horror film written and directed by Mitchell Lichtenstein. The movie stars Jess Weixler and was produced by Lichtenstein on a budget of US$2 million. The film premiered at the Sundance Film Festival on January 19, 2007, and was distributed by Roadside Attractions for a limited release in the United States.
Hypothesis: Jamie Wexler stars in the movie Teeth.",contradiction,[write]|[opinion],and,"written, directed, created, crafted, authored",entailment,"Premise: Teeth is a 2007 black comedy horror film written and directed by Mitchell Lichtenstein. The movie stars Jess Weixler and was produced by Lichtenstein on a budget of US$2 million. The film premiered at the Sundance Film Festival on January 19, 2007, and was distributed by Roadside Attractions for a limited release in the United States.  
Hypothesis: Jess Weixler, who stars in the movie Teeth, performed in a film written by Mitchell Lichtenstein.",16,True,True,False,False
225,"Premise: Teeth is a 2007 black comedy horror film written and directed by Mitchell Lichtenstein. The movie stars Jess Weixler and was produced by Lichtenstein on a budget of US$2 million. The film premiered at the Sundance Film Festival on January 19, 2007, and was distributed by Roadside Attractions for a limited release in the United States.
Hypothesis: Jamie Wexler stars in the movie Teeth.",contradiction,[write]|[opinion],and,"written, opinion, authored, viewpoint, perspective",neutral,"The movie *Teeth* is a 2007 black comedy horror film written and directed by Mitchell Lichtenstein, starring Jess Weixler and produced on a budget of US$2 million.",17,True,True,True,False
